,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
329,Darhan,49.49,105.92,58.77,82,97,2.21,MN,1594404903
330,San Jose,37.34,-121.89,81.0,44,40,6.93,US,1594404901
331,Torrijos,39.98,-4.28,91.4,21,1,5.82,ES,1594404903
332,Monrovia,6.3,-10.8,78.8,78,75,10.29,LR,1594404711
333,Sindor,62.86,51.89,61.12,89,81,4.68,RU,1594404904
334,Saint-Philippe,-21.36,55.77,69.8,64,43,14.99,RE,1594404904
335,Ust-Tsilma,65.44,52.15,64.89,79,83,6.4,RU,1594404904
336,Karlstad,59.38,13.5,68.0,63,85,3.36,SE,1594404904
337,Borisoglebskiy,57.26,39.15,62.6,63,10,6.71,RU,1594404904
338,Bubaque,11.28,-15.83,82.02,79,99,16.87,GW,1594404905
339,Boyolangu,-8.12,111.89,73.54,91,86,4.43,ID,1594404905
340,Rey Bouba,8.67,14.18,76.46,81,45,2.35,CM,1594404905
341,Merauke,-8.47,140.33,77.59,86,42,15.26,ID,1594404905
342,Tuatapere,-46.13,167.68,45.97,81,92,6.58,NZ,1594404905
343,Luena,-11.78,19.92,65.59,34,18,2.84,AO,1594404905
344,Vozhega,60.47,40.22,56.64,85,55,5.48,RU,1594404905
345,Djibo,14.1,-1.63,98.83,26,100,6.55,BF,1594404906
346,Trairi,-3.28,-39.27,82.87,70,28,13.15,BR,1594404906
347,Rio Grande,-32.03,-52.1,64.4,55,0,13.87,BR,1594404854
348,Banjar,-8.19,114.97,78.8,100,40,10.29,ID,1594404906
349,Departamento de Maldonado,-34.67,-54.92,57.99,71,100,20.8,UY,1594404614
350,Antsohihy,-14.88,47.99,73.15,59,44,9.98,MG,1594404906
351,Broome,42.25,-75.83,82.0,60,80,3.0,US,1594404792
352,Bucerías,20.75,-105.33,89.01,70,20,9.17,MX,1594404907
353,Zaysan,47.47,84.87,68.13,46,5,6.67,KZ,1594404907
354,Liyang,29.71,118.29,74.62,93,100,0.69,CN,1594404907
355,Chegdomyn,51.12,133.02,57.43,86,77,1.95,RU,1594404907
356,Bambanglipuro,-7.95,110.28,75.0,89,92,5.19,ID,1594404908
357,Orneta,54.11,20.13,67.37,87,98,11.74,PL,1594404908
358,Guerrero Negro,27.98,-114.06,84.54,30,47,9.24,MX,1594404908
359,Lahat,-3.8,103.53,71.78,91,75,2.98,ID,1594404908
360,Evanston,42.04,-87.69,84.99,54,40,14.99,US,1594404908
361,Sørkjosen,69.8,20.93,50.0,81,75,3.36,NO,1594404908
362,Lorengau,-2.02,147.27,81.88,79,89,10.54,PG,1594404908
363,Hamilton,39.18,-84.53,88.0,62,40,18.34,US,1594404726
364,Vuktyl,63.86,57.31,67.1,88,64,12.41,RU,1594404674
365,Hamza,40.43,71.5,78.8,27,82,9.17,UZ,1594404909
366,Caucaia,-3.74,-38.65,84.2,66,20,18.34,BR,1594404909
367,Benidorm,38.54,-0.13,84.0,63,0,9.04,ES,1594404909
368,Santa Maria,-29.68,-53.81,64.4,63,0,4.7,BR,1594404909
369,Lozova,48.89,36.32,65.07,62,39,5.35,UA,1594404909
